,symbol,name,price,volume_24,perc_change_24h,market_cap,perc_change_1h,volume_24h
132,XVS,Venus,33.00629351504492,,4.06154512,332855201.569235,-0.03796051,102727854.78217894
133,MAID,MaidSafeCoin,0.7266748080269,,5.33239785,328858437.1122106,0.43001122,1653758.24819295
134,STORJ,Storj,1.13537690349958,,7.73833073,326469597.4184605,0.27274832,63691623.07807869
135,GLM,Golem,0.31708556575757,,7.15044924,317085565.75757,-0.69016775,2758327.89908001
136,BTCST,Bitcoin Standard Hashrate Token,37.05741286097688,,5.84846727,313657276.1840764,-1.92983009,12286362.03305321
137,INJ,Injective Protocol,11.35232104035438,,25.51318096,312961951.5291979,6.7471377,40252456.95149434
138,EWT,Energy Web Token,10.02484598836477,,4.01423557,301368303.5309681,-0.57852957,1539675.55604901
139,OCEAN,Ocean Protocol,0.66949030935549,,9.57580012,290576761.2162683,0.38622802,26881352.44479852
140,ONG,Ontology Gas,1.03820978079737,,3.41354571,285513111.08404714,0.02924278,19629549.42151442
141,GNO,Gnosis,188.11942214317256,,4.30080844,283042037.0041296,-0.8895547,1913315.49331166
142,REP,Augur,25.50123161530677,,9.92536318,280513547.7683745,-1.49688356,36656452.62566034
143,NKN,NKN,0.3915685122984,,3.99724108,274097958.60888,1.53319044,25166526.64788889
144,CTSI,Cartesi,0.73933620120242,,7.92319646,269458821.48535675,1.96202634,43158809.65096348
145,ABBC,ABBC Coin,0.30988230621453,,19.64888434,263288776.05918357,-0.48986636,36197245.77126543
146,IOTX,IoTeX,0.02710670461365,,4.40280976,258619086.92803296,-0.99802613,16620009.91731242
147,FET,Fetch.ai,0.34508651871178,,7.31490363,257473772.73952153,0.39054208,46322719.91825545
148,WAXP,WAX,0.15855562617299,,5.43099709,252698412.95830148,0.61139493,2631366.39184325
149,CELR,Celer Network,0.04498089567581,,3.24165286,251947247.66703483,-0.09757873,46486715.25720063
150,FUN,FUNToken,0.02411408536692,,11.54520796,248348051.93902552,-0.15518617,11711806.00295724
151,SRM,Serum,4.94302368767453,,9.20731929,247151184.3837265,-0.01504853,80109729.18616498
152,NMR,Numeraire,49.76510064163422,,-0.27478302,247409696.71876132,0.25449482,23457694.83590581
153,OXT,Orchid,0.41222887070123,,4.20554517,246632283.08432302,1.3585682,14327364.5762424
154,PROM,Prometeus,14.844231799893,,4.74346973,244187613.10823986,0.94106434,4368376.58016834
155,ALPHA,Alpha Finance Lab,0.85340847393076,,5.94444388,243715568.4459691,0.42632346,25679891.96638804
156,SAND,The Sandbox,0.32947894446171,,3.67565904,231257454.17768273,-0.31127631,33553794.79947188
157,CVC,Civic,0.33872895999419,,4.91335101,226948403.1961073,-0.17367104,29745250.09637685
158,ARDR,Ardor,0.22522848630885,,5.8296763,225003144.0821556,-0.76035353,11638140.29001766
159,STMX,StormX,0.02544039893302,,3.4327093,219573540.53011933,-0.48259092,7199054.43321301
160,BAL,Balancer,31.11153428221377,,8.75089356,216033236.20639873,-0.04502642,40874560.46873413
161,NU,NuCypher,0.33516232562417,,11.1603373,217436558.74868026,5.50051684,10311659.00686871
162,STEEM,Steem,0.55832872027887,,4.25310832,212987539.30940282,-1.39371802,1983400.53450926
163,WOO,Wootrade,0.55871127763924,,12.9750371,210207131.4340502,-2.55566441,28197857.76773016
164,SUN,SUN,29.21235629259108,,2.10829871,206652805.2701755,1.02739827,11393564.3392613
165,SXP,Swipe,2.15785094924687,,6.34999327,205387062.87125298,0.30790678,165052182.06383258
166,STRAX,Stratis,1.549489743633,,3.06428283,204321181.09628344,0.76293179,3516106.91267877
167,UQC,Uquid Coin,20.33978521926439,,5.25172161,203397852.19264388,-3.75003486,7712978.01552161
168,KMD,Komodo,1.61438467407384,,1.92724463,203382716.7169351,-1.34655071,14486028.39339779
